GEOFFREYMICHAELGADD,中国科学院新疆生态与地理研究所
王_,哈尔滨工业大学
张宁涛,中国科学院近代物理研究所
吴海军,上海交通大学
余长源,苏州工业园区新国大研究院
章日光,太原理工大学
梁浴榕,华中科技大学
孟建玉,贵州省烟草科学研究院
任锟,浙江理工大学
王晓方,中国工程物理研究院
徐红,安徽工业大学
刘应科,中国矿业大学
吴朝玲,四川大学
任伟,西北师范大学
梁广,上海微小卫星工程中心
孙见忠,南京航空航天大学
陈立栋,中国人民解放军国防科学技术大学
颜冬菁,海南医学院
地里木拉提·吐尔逊,新疆大学
罗佛全,南昌大学
陈健刚,新疆医科大学
吴知航,南京邮电大学
吴一兵,河北医科大学
卫智军,内蒙古农业大学
邹华志,珠江水利委员会珠江水利科学研究院
饶中浩,中国矿业大学
韩珊,四川农业大学
刘心愿,长江水利委员会长江科学院
王琮民,河北工程大学
马高,湖南大学
李琨,渤海大学
解志斌,江苏科技大学
张骞,西南石油大学
封伟,天津大学
石艳春,内蒙古医科大学
寇炜,西北民族大学
刘秀霞,南昌大学
刘良_,江西中医药大学
万方,内蒙古农业大学
单斌,昆明医科大学
余文贵,江苏省农业科学院
翟琦巍,中国科学院上海生命科学研究院
黄林芳,中国医学科学院药用植物研究所
徐秀玲,中国科学院生物物理研究所
刘庆山,华中科技大学
张彰,中国科学院自动化研究所
郑有飞,南京信息工程大学
李清明,山东农业大学
王英辉,广西大学
杨德锋,暨南大学
张少良,东北农业大学
周长辉,北京大学
乔学军,中国地震局地震研究所
李超顺,华中科技大学
孙万臣,吉林大学
杨楚罗,武汉大学
吴镝,南京大学
何宏青,中国科学院地质与地球物理研究所
姚小强,西北师范大学
舒嘉,东南大学
郭贤仕,甘肃省农业科学院
覃宝祥,广西大学
童永芬,南昌航空大学
夏往所,中国矿业大学
陈维贤,武汉大学
汪建华,上海交通大学
马子魁,浙江理工大学
张保会,西安交通大学
潭家华,上海交通大学
袁建生,清华大学
梁瑞驹,河海大学
魏启东,东南大学
詹文山,中国科学院物理研究所
郑朝贵,北京大学
孙加林,昆明理工大学
罗世国,中国人民解放军后勤工程学院
李真,天津大学
张栋梁,首都医科大学
陈意云,中国科学技术大学
王小同,同济大学
王君杰,大连理工大学
蔡素德,重庆大学
高征铠,北京科技大学
顾成奎,天津大学
徐克付,中国科学院信息工程研究所
任剑新,中南财经政法大学
张次曼,厦门大学
王光兴,东北大学
阴建民,西安交通大学
龙慧,重庆大学
张维连,河北工业大学
杨将新,浙江大学
张聪,武汉工业学院
乔学光,西安石油大学
将章焰,中国科学院工程热物理研究所
刘春明,东北大学
坚增运,西安工业大学
石玉成,中国地震局兰州地震研究所
何炜,清华大学
王佑祥,中国科学院半导体研究所
江勇,清华大学
宁钟,复旦大学
冯登国,中国科学院软件研究所
郭履容,四川大学
祝世京,华中科技大学
罗晏,北京师范大学
李征帆,上海交通大学
游志胜,四川大学
范希武,中国科学院长春光学精密机械与物理研究所
姜云飞,吉林大学
丁栋虹,上海财经大学
陈良惠,中国科学院半导体研究所
王玉霞,中国科学技术大学
王文继,福州大学
李自强,中国科学院过程工程研究所
张隐西,上海交通大学
陈小红,上海交通大学
洪慧聪,中国科学院上海硅酸盐研究所
平安,东北大学
郑楚光,华中科技大学
马建标,南开大学
李华伦,西北工业大学
赵克功,中国计量科学研究院
张新访,华中科技大学
黄振国,郑州大学
赵惠麟,东南大学
周福霖,广州大学
姜朴,河海大学
刘肇,武汉大学
李周,中国航空工业集团公司北京航空材料研究院
何庆声,清华大学
郭巧,北京理工大学
于金辉,浙江大学
汪为农,上海交通大学
李少谦,电子科技大学
张培_,沈阳建筑大学
王庆康,上海交通大学
孙连明,西安交通大学
徐章英,江西省教育科学研究所
赵晓晖,吉林大学
刘椿年,北京工业大学
柴之芳,中国科学院高能物理研究所
孙同年,中国电子科技集团公司第十三研究所
谢玉忠,延边大学
古兰·托合提木拉提,新疆维吾尔自治区人民医院
郑莹,长沙理工大学
李健哲,广西中医药大学
邓小玲,重庆科技学院
赵晓威,东北师范大学
杨敬平,内蒙古医科大学
李越峰,甘肃中医药大学
石枫,江苏师范大学
陈同强,赣南医学院
刘丽荣,贵州医科大学
朱元倩,浙江理工大学
王智文,广西科技大学
朱真,东南大学
何德华,华中农业大学
晏妮娜,中央财经大学
齐若梅,卫生部北京医院
叶玲,中国人民解放军总医院
胡雪君,中国医科大学
胡薇薇,浙江大学
何玉先,中国医学科学院病原生物学研究所
朱家源,中山大学
徐艳琴,江西中医学院
高家林,皖南医学院
李擒龙,中国人民解放军第四军医大学
苏琦,南华大学
董金堂,南开大学
张守海,大连理工大学
李海鸥,桂林电子科技大学
田亮亮,重庆文理学院
赵宝锋,中国科学院大连化学物理研究所
葛俊祥,南京信息工程大学
伍艳芳,江西省林业科学院
解相朋,南京邮电大学
叶寒,北京邮电大学
张磊磊,辽宁石油化工大学
杨沛沛,中国科学院自动化研究所
宋锐,西安电子科技大学
柯长春,中国科学院大连化学物理研究所
胡晓鹃,南昌大学
杨玉,江西省儿童医院
韩丹,昆明医科大学
马振刚,重庆师范大学
蒋丰兴,江西科技师范大学
赖南君,西南石油大学
吉晓东,南通大学
黄秀姐,暨南大学
寇鹏,西安交通大学
季轶群,苏州大学
李建标,南开大学
戴洪斌,华南理工大学
崔正荣,内蒙古医科大学
杨少军,甘肃中医药大学
梁雪云,宁夏医科大学
叶联华,昆明医科大学
孙庭,南昌大学
丁洪伟,云南大学
铁勇,内蒙古大学
张荣平,昆明医科大学
李志锋,天水师范学院
田建袅,广西师范大学
赵志钢,中国人民解放军第三军医大学
张荣珍,江南大学
杨国亮,江西理工大学
闫学海,中国科学院过程工程研究所
杨金语,南开大学
季威,中国人民大学
俞红梅,中国科学院大连化学物理研究所
徐广银,苏州大学
韩晶岩,北京大学
许琪,中国医学科学院基础医学研究所
郭琪,天津医科大学
郑黎薇,四川大学
兰章,华侨大学
惠梅,北京理工大学
李绍强,中山大学
刘铖铖,北京理工大学
祝晓松,华中科技大学
廖胜凯,中国科学技术大学
许文波,电子科技大学
窦道龙,南京农业大学
陈晓舟,云南民族大学
周艳虹,浙江大学
刘石生,海南大学
努尔古丽·热合曼,新疆师范大学
王澍,西南林业大学
殷国前,广西医科大学
郑帅,首都医科大学
刘,中国科学院福建物质结构研究所
李树国,内蒙古民族大学
杨九艳,内蒙古大学
苏彦涛,北京大学
蔡曙,南京邮电大学
冯孔豫,中国科学院电子学研究所
吴正明,武汉理工大学
马满珍,东华大学
王如云,河海大学
Keith Noah Snavely,中国科学院深圳先进技术研究院
原建平,中国科学院声学研究所
石青荣,北京科技大学
陆守香,安徽理工大学
许永国,上海交通大学
马春生,吉林大学
张铭诚,四川大学
刘尚举,西南交通大学
官伯然,西安电子科技大学
崔亚军,西安电子科技大学
刘登瀛,中国科学院工程热物理研究所
徐玉恒,哈尔滨工业大学
韩英铎,清华大学
赵人杰,中国航天工业总公司第五０四研究所
马士德,中国科学院海洋研究所
宋志棠,中国科学院上海微系统与信息技术研究所
陈统坚,华南理工大学
王天龙,首都医科大学
余达太,北京科技大学
陈太一,中国人民解放军通信工程学院
申功烈,中国科学院电子学研究所
侯云,深圳大学
周国生,山西大学
黄达祥,中国科学院北京电子显微镜实验室
李金良,山东科技大学
戴逸松,吉林大学
傅维标,清华大学
卢文达,同济大学
肖盛燮,重庆交通大学
雷清泉,哈尔滨理工大学
张元,河南工业大学
杨万江,浙江大学
钟阳,哈尔滨工业大学
邓其生,华南理工大学
王永晨,天津师范大学
姜玉宪,北京航空航天大学
胡寿松,南京航空航天大学
黄正篱,中国科学院自动化研究所
陈效双,中国科学院上海技术物理研究所
谢希仁,中国人民解放军通信工程学院
黄幼才,武汉大学
马晓红,天津大学
贾生华,浙江大学
彭坤墀,山西大学
朱新明,中国科学院心理研究所
林德云,清华大学
李建蜀,重庆大学
夏小华,北京航空航天大学
徐元森,中国科学院上海微系统与信息技术研究所
蔡英时,上海大学
熊慎勋,山东大学
李培武,山东大学
宿志一,中国电力科学研究院
业祖润,北京建筑工程学院
狄生林,东南大学
杨洗陈,天津工业大学
林祖赓,厦门大学
杜元成,复旦大学
谭寿洪,中国科学院上海硅酸盐研究所
张利民,四川大学
钟志华,湖南大学
柴东朗,西安交通大学
刘清友,西南石油大学
彭龙生,太原理工大学
许鑫华,天津大学
刘丕旺,郑州轻金属研究院
黄世华,中国科学院长春光学精密机械与物理研究所
王贤珊,中国科学院上海有机化学研究所
翁杰,四川大学
廖国琼,华中科技大学
李俊岳,天津大学
黄圣春,中国人民解放军国防科学技术大学
陈恩果,福州大学
邓林峰,湖南大学
钟志梅,内蒙古农业大学
樊友军,广西师范大学
唐滔,中国人民解放军国防科学技术大学
李冬冬,江苏师范大学
詹求强,华南师范大学
余国先,西南大学
张寅,浙江大学
祝晓斌,北京工商大学
徐光柱,三峡大学
刘永,西安理工大学
贺旭,中国人民解放军国防科学技术大学
冉洋,暨南大学
周小林,中国科学院深圳先进技术研究院
金野,哈尔滨工业大学
史艳翠,天津科技大学
明悦,北京邮电大学
郑钰辉,南京信息工程大学
殷蓓蓓,北京航空航天大学
郭际香,四川大学
付印金,中国人民解放军理工大学
胡月,杭州电子科技大学
李雄,国家计算机网络与信息安全管理中心
董建波,中国科学院计算技术研究所
罗宜元,上海电机学院
雷柏英,深圳大学
毛华,四川大学
王星,辽宁工程技术大学
娄有成,中国科学院数学与系统科学研究院
杨兴华,中国气象局乌鲁木齐沙漠气象研究所
唐明凤,西南财经大学
张亚东,华中科技大学
王华伟,南京航空航天大学
郭驰名,中国人民解放军军械工程学院
刘翠平,华中农业大学
张雄伟,中国人民解放军理工大学
黄国伟,天津医科大学
李稼,首都儿科研究所
王廷华,四川大学
侯征,中国人民解放军第四军医大学
汤春波,南京医科大学
钱伟懿,渤海大学
戴振华,广州中医药大学
韩苏夏,西安交通大学
张赭,徐州医学院
翁德胜,中山大学
李建郎,中国科学院上海光学精密机械研究所
胡辉勇,西安电子科技大学
曲凤玉,哈尔滨师范大学
郭忠武,山东大学
周永刚,南京航空航天大学
张凤祥,南京医科大学
李亚明,复旦大学
韩效锋,中国科学院合肥物质科学研究院
黄春燕,扬州大学
陈永龙,南方科技大学
楼迪栋,贵州医科大学
郭智彬,江西省儿童医院
李海宁,宁夏医科大学
常军民,新疆医科大学
吴亚云,贵州医科大学
姜军,西藏大学
赵振华,河海大学
费尔康,南昌大学
周永春,昆明医科大学
赖康荣,昌吉学院
刘瑞银,沈阳师范大学
田熙哲,延边大学
马晓伟,石河子大学
邹登峰,桂林医学院
庞伟毅,桂林医学院
李全忠,桂林医学院
尚伟,天津城建大学
安输,昆明理工大学
汤华云,中国地质大学（武汉）
张艰,中国人民解放军第四军医大学
管庆波,山东大学
李月廷,北京市中西医结合医院
陈立勇,山东大学
诸葛飞,中国科学院宁波材料技术与工程研究所
曹江,徐州医学院
郭欣,浙江大学
鲍丽宏,中国科学院物理研究所
张振涛,聊城大学
毕平,华东师范大学
郝晓玲,内蒙古大学
叶赛云,福州大学
郭利娜,广东技术师范学院
许慎跃,中国科学院近代物理研究所
施智平,首都师范大学
程永现,中国科学院昆明植物研究所
卢运祥,华东理工大学
党颂,中国科学院长春应用化学研究所
刘世强,江西农业大学
严少敏,广西科学院
焦迎春,青海大学
张桂英,广西大学
古丽娜·沙比尔,新疆维吾尔自治区中药民族药研究所
钟欢,广西壮族自治区水产科学研究院
任非,南方医科大学
王跃林,浙江大学
杨士勤,哈尔滨工业大学
蒋静坪,浙江大学
廖显伯,中国科学院半导体研究所
张顺明,清华大学
邓玉妹,中国科学院合肥物质科学研究院
陈绍光,江西省科学院
李家祥,天津师范大学
王凤彬,中国人民大学
杨合,西北工业大学
郝振纯,河海大学
熊党生,中南大学
萧虹,山东大学
江风益,南昌大学
邱毓昌,西安交通大学
廖小云,重庆大学
叶英华,哈尔滨工业大学
姬东耀,中国科学院大学
刘幼平,北京化工大学
朱勤,上海大学
方克明,北京科技大学
张陆彪,中国农业科学院农业经济与发展研究所
卢桂章,南开大学
裴柳进,重庆大学
朱雪龙,清华大学
刘允才,上海交通大学
张维平,大连理工大学
阮江军,武汉大学
吴维韩,清华大学
马骥,清华大学
常越,华中科技大学
吴瑞明,上海交通大学
李淳德,北京大学
周炯磐,北京邮电大学
阮荣耀,华东师范大学
鲍敏杭,复旦大学
衣茂斌,吉林大学
熊诗杰,南京大学
王仁华,中国科学技术大学
喻志远,电子科技大学
赵振全,吉林大学
王安娜,东北大学
孙建伶,浙江大学
薛锋,西安交通大学
严清华,武汉大学
阮久宏,山东交通学院
崔晓明,北京大学
魏同立,东南大学
罗承忠,北京师范大学
胡燮荣,山东大学
韦穗,中国科学院合肥物质科学研究院
冯鹏,清华大学
崔引安,中国农业大学
于骁中,中国水利水电科学研究院
王长德,武汉大学
熊汉亮,天津大学
余运佳,中国科学院电工研究所
章梓茂,北京交通大学
段家修,天津大学
张演平,清华大学
程家纲,中国科学院工程热物理研究所
林达,中国科学院电工研究所
黄吕权,西北工业大学
彭泽民,天津大学
田志仁,山东大学
陈树勋,北京航空航天大学
钱名海,北京石油化工学院
陈国宪,天津大学
陈煊,中国人民解放军空军工程大学
丁昌林,西北工业大学
申怀彬,河南大学
胡大鹏,大连理工大学
李敬光,国家食品安全风险评估中心
于欣欣,安徽大学
于一,安徽大学
李小妮,中国科学院近代物理研究所
赵成吉,吉林大学
郝格非,华中师范大学
徐玲玲,九江学院
曹玲珍,江西师范大学
杨迎青,江西省农业科学院
莫明和,云南大学
邓贵仕,大连理工大学
刘晓健,山西大学
肖芸,贵州医科大学
薛守洪,内蒙古科技大学
种培芳,甘肃农业大学
刘忠华,东北农业大学
田瑾,北京航空航天大学
王炳昌,山东大学
范春石,中国空间技术研究院
芮大虎,河南理工大学
全雄文,南开大学
崔颖,上海交通大学
曹春红,湘潭大学
严英占,中国电子科技集团公司第五十四研究所
周易,中国科学院上海技术物理研究所
孔庆群,中国科学院自动化研究所
方素平,西安交通大学
陈耀登,南京信息工程大学
王鹤年,南京大学
戴全裕,中国科学院南京地理与湖泊研究所
宋金宝,中国海洋大学
钟德才,中国科学院寒区旱区环境与工程研究所
葛勇,哈尔滨工业大学
毛明西,兰州大学
邱志明,华南理工大学
叶声华,天津大学
于善普,青岛科技大学
姚宗干,华中科技大学
史仪凯,西北工业大学
韦昌富,中国科学院武汉岩土力学研究所
刘振群,华南理工大学
葛囤,江苏大学
施明诚,西安交通大学
赵长颖,上海交通大学
马福荣,东北师范大学
赵学敏,环境保护部华南环境科学研究所
桂智凡,湖北师范学院
王先宝,南方医科大学
刘运通,中国科学院西双版纳热带植物园
周中流,湛江师范学院
王远强,重庆理工大学
孙胜,中国航天科技集团公司第一研究院第十二研究所
李丹萍,西安电子科技大学
薛军帅,西安电子科技大学
蔡雯,新疆医科大学
李迎春,石河子大学
肖保国,复旦大学
龚洪翰,南昌大学
尹勇,云南省第二人民医院
朱元方,南昌大学
秦樊鑫,贵州师范大学
刘信平,湖北民族学院
罗军敏,遵义医学院
陆远富,遵义医学院
韩仁文,南昌大学
德力夏提依米提,新疆医科大学
黄伟其,贵州大学
党亚茹,中国民航大学
关天霞,河西学院
徐旭仲,温州医科大学
鲍依稀,重庆医科大学
连方,山东中医药大学
蒋冠,徐州医学院
万榕,福建医科大学
唐海,首都医科大学
曾丽莉,上海交通大学
陆林宇,浙江大学
谢克亮,天津医科大学
松林,内蒙古医科大学
刘秀萍,复旦大学
曾朝阳,中南大学
魏晓莉,中国人民解放军军事医学科学院
吴清,北京中医药大学
胡立发,中国科学院长春光学精密机械与物理研究所
姜培,复旦大学
王大勇,北京工业大学
刘会勇,贵州大学
颜世申,山东大学
周鑫,中国科学院近代物理研究所
崔彬,山东大学
张圣弼,北京科技大学
许时,中南大学
张和康,上海交通大学
张俊乾,重庆大学
周家敏,天津大学
王经,上海交通大学
徐思淑,云南工业大学
曾梅光,东北大学
陈兆能,上海交通大学
谢裕生,中国科学院过程工程研究所
沈峰满,东北大学
周和平,清华大学
颜德岳,上海交通大学
郭向阳,北京大学
郭爱克,中国科学院生物物理研究所
汪云九,中国科学院生物物理研究所
骆品亮,复旦大学
张林昌,北京交通大学
陆大成,中国科学院半导体研究所
薛舫时,中国电子科技集团公司第五十五研究所
吴志明,清华大学
朱克莉,中国科学院生物物理研究所
祝宁华,中国科学院半导体研究所
王健华,清华大学
黄玉明,北京控制工程研究所
赵方海,吉林大学
于俊华,哈尔滨工业大学
冯春梁,辽宁师范大学
邢琳,中南大学
曾芷德,中国人民解放军国防科学技术大学
张人千,北京航空航天大学
王连卫,中国科学院上海微系统与信息技术研究所
Jeffrey Too Chuan Tan,南开大学
陈永彬,东南大学
洪家荣,哈尔滨工业大学
庄镇泉,中国科学技术大学
郑容,西北工业大学
王明常,中国科学院上海光学精密机械研究所
汤俊雄,北京大学
郑德玲,北京科技大学
舒信福,云南工业大学
浦学锋,南京航空航天大学
Anton V·Dyshlyuk,大连理工大学
吴持恭,四川大学
孟宪域,天津理工大学
林君山,上海交通大学
陈淮,郑州大学
雒建斌,清华大学
黄义,西安建筑科技大学
夏唐代,浙江大学
杨于兴,上海交通大学
吴丽芳,中国科学院合肥物质科学研究院
潘存云,中国人民解放军国防科学技术大学
邱万川,武汉大学
郦正能,北京航空航天大学
姜茂发,东北大学
雷慰宗,机械科学研究总院
鄢捷年,中国石油大学（北京）
丁炳哲,中国科学院金属研究所
徐海良,中南大学
王崇琳,中国科学院金属研究所
孙水裕,中南大学
吴小萍,中南大学
王帆,中山大学
陈志诚,北京科技大学
傅家骥,清华大学
任廷枢,重庆大学
查振祥,中国农业大学
郭波,中国人民解放军第三军医大学
孙沫逸,中国人民解放军第四军医大学
张金成,南开大学
李仲篪,中国国防科技信息中心
武一,广东商学院
施建淮,北京大学
蒋剑,中南大学
侯玉霞,西安交通大学
王云宜,中南大学
肖现民,复旦大学
徐山鹰,中国科学院数学与系统科学研究院
杨世基,中国农业科学院农业经济与发展研究所
汪星明,中国人民大学
谢尧,首都医科大学
胡瑞法,浙江大学
公茂庆,山东省医学科学院
李录堂,西北农林科技大学
陈葳,西安交通大学
陈金贤,西安交通大学
李若建,中山大学
王英典,北京师范大学
张学敏,中国人民解放军军事医学科学院
许燕,北京师范大学
游亚戈,中国科学院广州能源研究所
游雪甫,中国医学科学院
李文立,大连理工大学
邱志兵,南京医科大学
夏松,华中科技大学
张农,复旦大学
张安平,安徽医科大学
朱克勤,清华大学
唐清,中国科学院过程工程研究所
高贤明,中国科学院植物研究所
冯英俊,哈尔滨工业大学
杨宗凯,华中科技大学
金明星,吉林大学
董炎明,厦门大学
戴志晖,南京师范大学
曹振新,东南大学
南丽丽,甘肃农业大学
赵屹东,中国科学院高能物理研究所
薛国喜,郑州轻工业学院
范果红,安徽工业大学
卢昊,中国矿业大学
李超乾,广西医科大学
赵新风,中国科学院新疆生态与地理研究所
高广宇,北京理工大学
李韶,大连医科大学
杨雪锋,华中科技大学
张学武,延边大学
侯宗柳,昆明医科大学
黄铭,云南大学
魏育涛,石河子大学
石秦东,新疆医科大学
王汝冰,中国医学科学院药物研究所
董家新,广西师范大学
张敉,昆明理工大学
庞宇舟,广西中医药大学
许建,中国电子科技集团公司第二十八研究所
夏雪山,昆明理工大学
唐祖平,华中科技大学
周月明,华中科技大学
胡飞芳,中国人民大学
崔来中,深圳大学
胡博杰,新疆维吾尔自治区和田地区人民医院
郝小燕,贵州医科大学
李显生,吉林大学
冯永晟,中国社会科学院财经战略研究院
黄风迎,海南医学院
王艳阳,宁夏医科大学
张旋,昆明医科大学
曲亮,天津大学
谭乐,西北大学
倪昌红,江西理工大学
幸新鹏,清华大学
隋婧,中国科学院自动化研究所
刘宝戈,首都医科大学
许贤,浙江大学
那仁满都拉,浙江大学
阚立新,安徽医科大学
宋景贵,新乡医学院
程民,安徽医科大学
余健秀,上海交通大学
吴国涛,中国科学院大连化学物理研究所
朱文伟,复旦大学
朱岩梅,同济大学
苑春荟,北京邮电大学
胡振东,同济大学
孙永奇,西安工程大学
姚志欣,浙江大学
关遐令,中国原子能科学研究院
杨永会,山东大学
黄自强,国家海洋局第三海洋研究所
范峰,哈尔滨工业大学
丘其宪,中国测绘科学研究院
韩文峰,兰州大学
汪劲松,清华大学
陈铁梅,北京大学
陈锡先,北京邮电大学
王渭源,中国科学院上海微系统与信息技术研究所
曾昭俟,中国科学院电子学研究所
方俊鑫,上海交通大学
西广成,中国科学院自动化研究所
郭文生,辽宁大学
罗维早,重庆市中药研究院
孟刚,中国人民解放军第三军医大学
赵新汉,西安交通大学
赵玉志,长春理工大学
沈盈,浙江大学
胡安洲,北京交通大学
陈芳雪,浙江大学
朱沙,郑州大学
柴本良,国防科学技术工业委员会
王京芹,天津大学
黄恒学,武汉大学
王世定,财政部财政科学研究所
唐小我,电子科技大学
黄贤圣,中南大学
王嘉霖,华中科技大学
李季,中国农业大学
张培刚,华中科技大学
洪家兴,复旦大学
李仲学,北京科技大学
何秀荣,中国农业大学
郜发宝,中国人民解放军第四军医大学
杨红明,中国人民解放军总医院
张嗣瀛,东北大学
霍贵成,东北农业大学
鲁安怀,北京大学
孙松,中国科学院海洋研究所
曹红鹤,中国农业科学院北京畜牧兽医研究所
陈万义,南开大学
保铮,西安电子科技大学
陈新平,中国农业大学
李思光,南昌大学
田文怀,北京科技大学
曹kun,浙江大学
吴铿,北京科技大学
周继承,中南大学
李炯生,中国科学技术大学
李红兵,南京大学
傅家谟,中国科学院广州地球化学研究所
顾斌,南京信息工程大学
苏新,中国地质大学（北京）
毕开顺,沈阳药科大学
吕光宏,四川大学
葛璜,中国科学院半导体研究所
曹明翠,华中科技大学
方大纲,南京理工大学
刘叙华,吉林大学
魏少军,清华大学
沈绍群,复旦大学
陈陈,上海交通大学
龚诚,西北工业大学
张宏科,北京交通大学
郝寿义,南开大学
王兰荣,哈尔滨工业大学
戚昌文,华中科技大学
严瑞珍,中国人民大学
黄慈波,卫生部北京医院
陈松龄,中山大学
陈_,浙江中医药大学
殷莎,北京航空航天大学
王欢,遵义医学院
徐跃杭,电子科技大学
朱斐,浙江农林大学
何进鹏,中国科学院近代物理研究所
林甲祥,福建农林大学
欧珠罗布,西藏大学
阿衣古力·阿布都瓦依提,新疆农业大学
孔东升,河西学院
潘曦,北京理工大学
杨朝龙,重庆理工大学
陶雪钰,中国矿业大学
李玉剑,中国卫星海上测控部
叶修竹,北京航空航天大学
乔小燕,山东工商学院
周愿,中国科学院大连化学物理研究所
宋贵波,昆明医科大学
青春美,华南理工大学
郭_,北京大学
彭丹,燕山大学
滕明瑜,云南师范大学
刘金彦,内蒙古科技大学
格鹏飞,甘肃省疾病预防控制中心
田丽华,西安交通大学
黄增立,中国科学院苏州纳米技术与纳米仿生研究所
荣锋,天津工业大学
原军,太原科技大学
敖欣,东莞理工学院
吴启武,中国人民武装警察部队工程大学
张彬彬,云南大学
朱嘉奇,中国科学院软件研究所
郭筝,上海交通大学
张筱,北京航空航天大学
刘新武,湖南科技大学
谭貌,湘潭大学
陈志娟,浙江工商大学
郑璐平,福建农林大学
鲁元平,中南财经政法大学
骆耀峰,西北农林科技大学
随洪光,山东大学
于_,中国地质科学院岩溶地质研究所
孙煦,宁波诺丁汉大学
王长春,中国人民解放军空军装备研究院
鲍敏,中国科学院心理研究所
张之光,西安理工大学
李玉姝,中国医科大学
王延江,中国人民解放军第三军医大学
康皓,华中科技大学
邹伟,黑龙江中医药大学
陈冰,上海交通大学
刘海元,中国医学科学院北京协和医院
廖琼峰,广州中医药大学
张仲苗,浙江大学
朱学义,中国矿业大学
郗小林,中国科学技术发展战略研究院
曾福生,湖南农业大学
张亚杰,广州医学院
王询,东北财经大学
戴镇海,复旦大学
陈甬军,中国人民大学
李南,西安交通大学
陈毅文,中国科学院心理研究所
张宗益,重庆大学
张绍镛,内蒙古工业大学
薛新伟,中国科学院数学与系统科学研究院
马费城,武汉大学
李汉铃,哈尔滨工业大学
范晓屏,浙江大学
徐剑秋,上海交通大学
刘鸣华,中国科学院办公厅
杜迎刚,泰山医学院
高旭东,清华大学
萧维嘉,中国社会科学院金融研究所
俞云松,浙江大学
李青峰,上海交通大学
谭明秋,浙江大学
李日辉,青岛海洋地质研究所
查锡良,复旦大学
张洪敏,北京化工大学
蓝崇钰,中山大学
王秋芳,西北农林科技大学
应质峰,复旦大学
任文敏,清华大学
宋大新,复旦大学
吴云峰,西北农林科技大学
蔡德陵,国家海洋局第一海洋研究所
李南田,中国水稻研究所
郑玉祥,复旦大学
熊林平,中国人民解放军第二军医大学
刘文江,西安交通大学
陈安宁,中国科学院地理科学与资源研究所
刘_怡,中国科学院空间科学与应用研究中心
郑绍濂,复旦大学
郑杰胜,浙江大学
陈宏民,上海交通大学
梁爽,南方医科大学
塞风,中国人民大学
吴贵生,清华大学
钱省三,上海理工大学
江春,武汉大学
黄硕风,中国人民解放军军事科学院
谢国梁,贵州科学院
韩光辉,北京大学
翁君奕,厦门大学
钱伯海,厦门大学
毛蕴诗,中山大学
邹珊刚,华中科技大学
张鹏翥,西安交通大学
李泊溪,国务院发展研究中心
唐铁龙,川北医学院
沈艺峰,厦门大学
张美敦,上海交通大学
汪蕙,清华大学
谢德仁,清华大学
孙军强,华中科技大学
张云岗,中国科学院科技政策与管理科学研究所
张彩江,华南理工大学
彭小宁,湖南师范大学
贲其稳,中国人民解放军第二军医大学
王河,暨南大学
梁梁,中国科学技术大学
管克俭,北京邮电大学
姚森,中国人民解放军第一七四医院
张忠玉,中国科学院长春光学精密机械与物理研究所
王金凤,郑州大学
陈树强,北京邮电大学
冯之钺,中国科学院电工研究所
汪复兴,清华大学
刘曾荣,苏州大学
任晓平,哈尔滨医科大学
张纪岩,中国人民解放军军事医学科学院
袁颖,南通大学
杨嘉琛,天津大学
刘春朝,中国科学院过程工程研究所
王永忠,重庆大学
鞠晶晶,中国科学院上海光学精密机械研究所
曹宝宝,西南交通大学
李绍蓉,西安科技大学
闫靓,西北工业大学
卞卫和,南京中医药大学
李昌志,中国科学院大连化学物理研究所
杨朝合,中国石油大学（华东）
王浩华,浙江大学
任爱民,吉林大学
周树军,江西农业大学
尹显慧,贵州大学
赵卉,云南大学
赵昶灵,云南农业大学
陈关亭,清华大学
袁军,中南林业科技大学
郑琼莉,华中科技大学
刘旭政,华东交通大学
祁通,新疆农业科学院
蒋思伟,中国地质大学（武汉）
王辰星,东南大学
何楚,武汉大学
党鑫,天津工业大学
马英红,西安电子科技大学
孙云飞,苏州科技学院
唐龙华,浙江大学
李建宁,杭州电子科技大学
姚凤麒,安徽工业大学
戴凤钊,中国科学院上海光学精密机械研究所
文世勇,国家海洋环境监测中心
周仕学,山东科技大学
钟青,中国科学院大气物理研究所
秦四清,成都理工大学
吴若琼,中南大学
黎沛森,中国热带农业科学院
黄福林,青岛海洋地质研究所
傅文甫,云南师范大学
杨廷力,中国石化集团金陵石油化工有限责任公司
鲜于泽,东北大学
程式华,中国水稻研究所
薛纯良,上海交通大学
汪永进,南京师范大学
张廷安,东北大学
冯仁青,北京大学
苟娟琼,北京交通大学
罗远培,中国农业科学院农业环境与可持续发展研究所
张生勇,中国人民解放军第四军医大学
唐敬师,西安交通大学
苏锦祥,郑州大学
安静,首都医科大学
赵晋华,上海交通大学
刘歆,中国科学院数学与系统科学研究院
张本威,华中师范大学
张映梅,中国人民解放军军事医学科学院
方向明,浙江大学
伏升茂,西北师范大学
贺京同,南开大学
刘承宜,华南师范大学
曾贵华,西安电子科技大学
吴小华,复旦大学
龙星,武汉大学
徐国新,南京农业大学
陈昌柏,东南大学
申荷永,华南师范大学
樊静,全国科学技术名词审定委员会事务中心
薛征鸿,冶金工业部冶金经济发展研究中心
刘起运,中国人民大学
齐寅峰,南开大学
曾晓萱,清华大学
吴宗鑫,清华大学
